restricted_source_file	included_in_archive	sha256	reason_not_included
aorta_data_long_from_AllHHP2025.csv	no	3136aa876c6ca66b892c0c8b6ed65e5d2bc327662a5de55953b71c952285f04b	Restricted source file; contains identifiers, linkage information, and/or exact dates.
aorta_data_long_plus_CTMRAO.csv	no	81bce4799717209b2cd8d10e38e44003c595299e952c1a980acd0dfaffca3a12	Restricted source file; contains identifiers, linkage information, and/or exact dates.
All.HHP.2025.xlsx	no	ec41d5415e40e602eebe1f2820e94cc4f973f19a8a68ee0451fc6af0df9f17f2	Restricted source file; contains identifiers, linkage information, and/or exact dates.
Mapping.IDs.xlsx	no	0f7cec4c7d8c2c91187f35127caf45c7eb3f0fcfd29383b0cf6b9f0344f13cc5	Restricted source file; contains identifiers, linkage information, and/or exact dates.
Top40.clinical.data.xlsx	no	09be47671767cc077330f93aa3a1404dbfa7d6175ce26e8a376c2301d5610b88	Restricted source file; contains identifiers, linkage information, and/or exact dates.
aorta_data_long_with_outliers.csv	no	cc76cb43379c065db780e9e037b3f979d346a15f52a9d441665d5090cd370a54	Restricted source file; contains identifiers, linkage information, and/or exact dates.
qc_summary_by_patient_segment.csv	no	31032f2bde422586b52019c1bc7e3eb9ac82ae7be32ea9a884df3c08401ac15f	Restricted source file; contains identifiers, linkage information, and/or exact dates.
patient_slopes_ols_vs_mixed.csv	no	5b0c74f1283d42468d8fba0316d06f6441446e811a12dd2eb51d8668e5d9f99e	Restricted source file; contains identifiers, linkage information, and/or exact dates.
patient_progression_categories.csv	no	7747afc279f8e83aa2c7123e95e91a85f189b0d87da3ef24fcc4fe6a8a6d2768	Restricted source file; contains identifiers, linkage information, and/or exact dates.
patient_best_model_slopes_pooled_by_patient_segment.csv	no	03cd2d4b2812aa21acaf737dbdf304ad1876e2b1d117dbd21f006c3c7c456dfb	Restricted source file; contains identifiers, linkage information, and/or exact dates.
high_risk_combined_delta_AHI.csv	no	5027f7caae28e461c6741a9aa036f62ecbc191de6e785b59bef29ea734e3762e	Restricted source file; contains identifiers, linkage information, and/or exact dates.
ranked_participants.csv	no	c2c9eafcdf8a48efdc97f2556df21e381420dea2c9508ab88ded849c3a630f25	Restricted source file; contains identifiers, linkage information, and/or exact dates.
